codigo_extintor,sede_edificio,ubicacion_especifica,agente_extintor,capacidad_lbs,numero_serie,fecha_ultima_recarga,fecha_vencimiento_recarga,fecha_ultima_inspeccion,presion_manometro,estado_general,manguera_boquilla,pin_seguridad,senalizacion,altura_instalacion_m,inspector_responsable,observaciones
EXT-POP-113,Complejo Deportivo Villa Olímpica,Gimnasio de Alto Rendimiento,Acetato de Potasio (Clase K),6.0,SN-2024-31976,2025-03-03,2026-03-03,2026-07-27,Baja - Zona Roja,Vencido - Requiere Recarga,Buen Estado,Intacto,Visible y Clara,1.2,Ing. Diana Marcela Burbano,Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-114,Plaza de Mercado Barrio Bolívar,Sector Carnes y Lácteos,ABC - Polvo Químico Seco,10.0,SN-2024-13748,2025-10-10,2026-10-10,2026-08-01,Correcta - Zona Verde,Operativo,Buen Estado,Intacto,Visible y Clara,1.3,Ing. Andrés Felipe Gómez (HSE),Extintor en óptimas condiciones de funcionamiento.
EXT-POP-115,Plaza de Mercado Barrio Bolívar,Sector Granos y Abarrotes,CO2 - Dióxido de Carbono,10.0,SN-2024-72003,2025-06-21,2026-06-21,2026-06-24,Baja - Zona Roja,Fuera de Servicio,Buen Estado,Intacto,Visible y Clara,1.1,Téc. María Fernanda Valencia,Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-116,Plaza de Mercado Barrio Bolívar,Oficina de Administración,ABC - Polvo Químico Seco,20.0,SN-2024-56717,2025-04-23,2026-04-23,2026-07-26,Baja - Zona Roja,Vencido - Requiere Recarga,Buen Estado,Intacto,Visible y Clara,1.1,Ing. Andrés Felipe Gómez (HSE),Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-117,Plaza de Mercado Barrio Bolívar,Bodega Principal de Carga,ABC - Polvo Químico Seco,15.0,SN-2024-75733,2025-06-09,2026-06-09,2026-08-09,Baja - Zona Roja,Vencido - Requiere Recarga,Buen Estado,Faltante / Crotal Roto,Visible y Clara,1.5,Ing. Diana Marcela Burbano,Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-118,Estación Central de Bomberos Popayán,Garaje de Vehículos M1-M4,ABC - Polvo Químico Seco,20.0,SN-2024-59811,2025-08-28,2026-08-28,2026-06-16,Correcta - Zona Verde,Operativo,Buen Estado,Intacto,Visible y Clara,1.5,Sgt. Juan Carlos Mosquera (Bomberos Popayán),Extintor en óptimas condiciones de funcionamiento.
EXT-POP-119,Estación Central de Bomberos Popayán,Sala de Máquinas y Telecomunicaciones,ABC - Polvo Químico Seco,20.0,SN-2024-18155,2025-05-27,2026-05-27,2026-06-20,Baja - Zona Roja,Vencido - Requiere Recarga,Buen Estado,Faltante / Crotal Roto,Visible y Clara,1.1,Sgt. Juan Carlos Mosquera (Bomberos Popayán),Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-120,Estación Central de Bomberos Popayán,Dormitorios de Guardia,Agua Presurizada (AP),10.0,SN-2024-12049,2025-05-31,2026-05-31,2026-07-01,Baja - Zona Roja,Fuera de Servicio,Buen Estado,Faltante / Crotal Roto,Visible y Clara,1.4,Ing. Andrés Felipe Gómez (HSE),Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-121,Estación Central de Bomberos Popayán,Taller de Mantenimiento,Acetato de Potasio (Clase K),10.0,SN-2024-16295,2025-05-20,2026-05-20,2026-08-08,Baja - Zona Roja,Fuera de Servicio,Buen Estado,Intacto,Visible y Clara,1.3,Ing. Diana Marcela Burbano,Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-122,Casa de la Cultura - Centro Histórico,Salón de Exposiciones Principal,ABC - Polvo Químico Seco,10.0,SN-2024-12200,2025-04-26,2026-04-26,2026-08-14,Cero,Fuera de Servicio,Buen Estado,Faltante / Crotal Roto,Visible y Clara,1.1,Sgt. Juan Carlos Mosquera (Bomberos Popayán),Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-123,Casa de la Cultura - Centro Histórico,Auditorio Central,ABC - Polvo Químico Seco,15.0,SN-2024-96416,2025-07-13,2026-07-13,2026-07-24,Cero,Vencido - Requiere Recarga,Buen Estado,Intacto,Visible y Clara,1.4,Sgt. Juan Carlos Mosquera (Bomberos Popayán),Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-124,Casa de la Cultura - Centro Histórico,Archivo Histórico de Documentos,ABC - Polvo Químico Seco,20.0,SN-2024-49790,2025-01-22,2026-01-22,2026-06-30,Baja - Zona Roja,Fuera de Servicio,Buen Estado,Faltante / Crotal Roto,Visible y Clara,1.1,Ing. Diana Marcela Burbano,Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-125,Casa de la Cultura - Centro Histórico,Oficinas Administrativas,CO2 - Dióxido de Carbono,5.0,SN-2024-42635,2025-05-27,2026-05-27,2026-06-04,Baja - Zona Roja,Vencido - Requiere Recarga,Buen Estado,Intacto,Visible y Clara,1.5,Sgt. Juan Carlos Mosquera (Bomberos Popayán),Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-126,Terminal de Transportes de Popayán,Hall Principal de Tiquetes,ABC - Polvo Químico Seco,10.0,SN-2024-42745,2025-06-30,2026-06-30,2026-07-30,Baja - Zona Roja,Fuera de Servicio,Buen Estado,Intacto,Visible y Clara,1.2,Ing. Andrés Felipe Gómez (HSE),Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-127,Terminal de Transportes de Popayán,Zona de Abordaje de Busetas,Acetato de Potasio (Clase K),10.0,SN-2024-37751,2025-06-23,2026-06-23,2026-06-24,Baja - Zona Roja,Vencido - Requiere Recarga,Buen Estado,Intacto,Visible y Clara,1.2,Ing. Andrés Felipe Gómez (HSE),Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-128,Terminal de Transportes de Popayán,Local Comercial 12 - Pasillo B,CO2 - Dióxido de Carbono,15.0,SN-2024-20647,2025-09-03,2026-09-03,2026-07-18,Correcta - Zona Verde,Operativo,Buen Estado,Intacto,Visible y Clara,1.2,Ing. Andrés Felipe Gómez (HSE),Extintor en óptimas condiciones de funcionamiento.
EXT-POP-129,Terminal de Transportes de Popayán,Plataforma de Despacho,Acetato de Potasio (Clase K),10.0,SN-2024-88657,2025-02-05,2026-02-05,2026-07-15,Baja - Zona Roja,Vencido - Requiere Recarga,Buen Estado,Intacto,Visible y Clara,1.4,Téc. María Fernanda Valencia,Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-130,Colegio Mayor del Cauca - Sede Pambío,Laboratorio de Informática 1,ABC - Polvo Químico Seco,20.0,SN-2024-78027,2025-02-20,2026-02-20,2026-06-25,Cero,Vencido - Requiere Recarga,Buen Estado,Faltante / Crotal Roto,Visible y Clara,1.2,Sgt. Juan Carlos Mosquera (Bomberos Popayán),Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-131,Colegio Mayor del Cauca - Sede Pambío,Biblioteca General,ABC - Polvo Químico Seco,10.0,SN-2024-27019,2025-03-01,2026-03-01,2026-06-05,Cero,Vencido - Requiere Recarga,Buen Estado,Intacto,Visible y Clara,1.4,Insp. Roberto Antonio Muñoz,Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-132,Colegio Mayor del Cauca - Sede Pambío,Auditorio Institucional,Agua Presurizada (AP),2.5,SN-2024-84740,2025-05-25,2026-05-25,2026-08-02,Cero,Vencido - Requiere Recarga,Buen Estado,Intacto,Visible y Clara,1.1,Ing. Diana Marcela Burbano,Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-133,Colegio Mayor del Cauca - Sede Pambío,Cafetería Estudiantil,ABC - Polvo Químico Seco,15.0,SN-2024-69638,2025-01-01,2026-01-01,2026-07-04,Baja - Zona Roja,Vencido - Requiere Recarga,Buen Estado,Intacto,Visible y Clara,1.5,Insp. Roberto Antonio Muñoz,Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-134,Centro de Salud María Occidente,Sala de Espera Urgencias,ABC - Polvo Químico Seco,15.0,SN-2024-53919,2025-05-24,2026-05-24,2026-07-21,Baja - Zona Roja,Vencido - Requiere Recarga,Buen Estado,Intacto,Visible y Clara,1.4,Insp. Roberto Antonio Muñoz,Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-135,Centro de Salud María Occidente,Consultorio Triage,ABC - Polvo Químico Seco,10.0,SN-2024-33289,2025-02-08,2026-02-08,2026-07-03,Baja - Zona Roja,Vencido - Requiere Recarga,Buen Estado,Intacto,Visible y Clara,1.4,Téc. María Fernanda Valencia,Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-136,Centro de Salud María Occidente,Farmacia y Depósito de Medicamentos,Acetato de Potasio (Clase K),10.0,SN-2024-59115,2025-09-14,2026-09-14,2026-08-08,Correcta - Zona Verde,Operativo,Buen Estado,Intacto,Visible y Clara,1.2,Ing. Andrés Felipe Gómez (HSE),Extintor en óptimas condiciones de funcionamiento.
EXT-POP-137,Centro de Salud María Occidente,Área de Odontología,CO2 - Dióxido de Carbono,15.0,SN-2024-48304,2025-06-01,2026-06-01,2026-06-12,Baja - Zona Roja,Vencido - Requiere Recarga,Buen Estado,Intacto,Visible y Clara,1.3,Ing. Andrés Felipe Gómez (HSE),Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-138,Biblioteca Pública Departamental,Sala Infantil y Lectura,CO2 - Dióxido de Carbono,15.0,SN-2024-35351,2025-02-13,2026-02-13,2026-06-29,Baja - Zona Roja,Vencido - Requiere Recarga,Buen Estado,Intacto,Visible y Clara,1.1,Téc. María Fernanda Valencia,Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-139,Biblioteca Pública Departamental,Hemeroteca General,ABC - Polvo Químico Seco,15.0,SN-2024-70692,2025-03-31,2026-03-31,2026-07-04,Baja - Zona Roja,Vencido - Requiere Recarga,Buen Estado,Faltante / Crotal Roto,Visible y Clara,1.4,Ing. Andrés Felipe Gómez (HSE),Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-140,Biblioteca Pública Departamental,Oficina de Cómputo,Acetato de Potasio (Clase K),10.0,SN-2024-46208,2025-07-11,2026-07-11,2026-07-19,Baja - Zona Roja,Vencido - Requiere Recarga,Buen Estado,Intacto,Visible y Clara,1.5,Ing. Diana Marcela Burbano,Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-141,Biblioteca Pública Departamental,Depósito de Libros Raros,CO2 - Dióxido de Carbono,15.0,SN-2024-49954,2025-08-05,2026-08-05,2026-06-30,Correcta - Zona Verde,Operativo,Buen Estado,Intacto,Visible y Clara,1.5,Sgt. Juan Carlos Mosquera (Bomberos Popayán),Extintor en óptimas condiciones de funcionamiento.
